Name,Affiliation ,Affiliation Link,Email,Verified Email Link,Citations (Total),Citations (Since 2019),h-index (Total),h-index (Since 2019) ,i10-index (Total),i10-index (Since 2019) ,Interest ,Google Scholar Link
Nguyen Phuong Dang,"Physics Resident, University of Southern California",,No verified email,,148381,92927,192,150,684,651,Medical physicsHigh energy physics,https://scholar.google.com/citations?hl=en&user=ExCf77kAAAAJ
Dan Nguyen,"Medical Artificial Intelligence and Automation (MAIA) Laboratory, UT Southwestern",https://scholar.google.com/citations?view_op=view_org&hl=en&org=3024719665818401722,Verified email at UTSouthwestern.edu - Homepage,https://www.utsouthwestern.edu/labs/maia/,2616,2183,27,23,34,32,Artificial Intelligence in MedicineMedical PhysicsRadiation Therapy,https://scholar.google.com/citations?hl=en&user=xSPLSEQAAAAJ
C.Nguyen-Mau,"Associated Professor of Physics, University of Science, Vietnam National University, Hanoi",https://scholar.google.com/citations?view_op=view_org&hl=en&org=13319503632786364699,Verified email at vnu.edu.vn - Homepage,https://vnu.edu.vn/,88636,47961,159,112,594,534,Nuclear PhysicsParticle Physics,https://scholar.google.com/citations?hl=en&user=2WLCn6EAAAAJ
Dien Nguyen,"Nathan Isgur Fellow JLab, Postdoctoral MIT",,Verified email at jlab.org,,2199,2151,22,20,44,43,Nuclear Physics,https://scholar.google.com/citations?hl=en&user=V-DfjFoAAAAJ
Hai Nguyen Xuan,Researcher,,Verified email at nri.gov.vn,,2087,1121,9,8,9,8,Nuclear physics,https://scholar.google.com/citations?hl=en&user=FRagOPsAAAAJ
Nguyen Tien Son,"professor i semiconductor physics, Linköping University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=17173928468432796250,Verified email at ifm.liu.se,,11300,5530,59,39,161,85,physicssemiconductorselectronics,https://scholar.google.com/citations?hl=en&user=GLnBuI8AAAAJ
Phu D. Nguyen,University of Washington,https://scholar.google.com/citations?view_op=view_org&hl=en&org=5340226318625937772,Verified email at uw.edu,,55721,50274,82,80,146,137,electronic structure theorymolecular dynamics,https://scholar.google.com/citations?hl=en&user=KMvWmIUAAAAJ
Minh Nguyen,University of Newcastle; Western Sydney University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=13721485061121641907,Verified email at newcastle.edu.au,,43145,33501,76,66,346,288,foodengineeringtechnologyhealthscience,https://scholar.google.com/citations?hl=en&user=0geqFDAAAAAJ
Dang Khoa Nguyen,Université de Montréal,https://scholar.google.com/citations?view_op=view_org&hl=en&org=4964519586676348649,Verified email at umontreal.ca,,8714,5576,51,37,163,133,Neuroscienceengineering,https://scholar.google.com/citations?hl=en&user=9bJokz0AAAAJ
Quang D. Nguyen,Hungarian University of Agriculture and Life Sciences,,Verified email at liliom.kee.hu - Homepage,http://sor.etk.szie.hu/,3425,2416,21,19,34,29,biotechnologyengineering,https://scholar.google.com/citations?hl=en&user=rxBPMSoAAAAJ
Nam-Trung Nguyen,Professor and Australian Laureate Fellow,,Verified email at griffith.edu.au - Homepage,http://ntnlab.com/,42472,24259,102,76,499,410,MicrofluidicsNanofluidicsMEMSLab on a ChipMagnetofluidics,https://scholar.google.com/citations?hl=en&user=nQww6TMAAAAJ
"Trieu Nguyen, PhD",Microfabrication Cleanroom Manager,,Verified email at honda-ri.com,,1186,1093,15,15,19,17,Micro-NanofluidicsSensorsPoint of care devicesLab on a Chip,https://scholar.google.com/citations?hl=en&user=SuHeFCAAAAAJ
Thanh Tra Nguyen,ESRF - The European Synchrotron,https://scholar.google.com/citations?view_op=view_org&hl=en&org=10354765437157607926,Verified email at esrf.fr - Homepage,https://www.researchgate.net/profile/Tra_Nguyen_Thanh,25290,20835,48,40,124,94,X-ray diffractionX-ray spectroscopythin filmmicroelectronicssemiconductors,https://scholar.google.com/citations?hl=en&user=QowALgEAAAAJ
Kim Q Do,Lausanne university hospital unil chuv,https://scholar.google.com/citations?view_op=view_org&hl=en&org=4586899818263879232,Verified email at chuv.ch,,14131,6232,60,44,136,93,neuroscience,https://scholar.google.com/citations?hl=en&user=Rz5LD4sAAAAJ
Le Si Dang,Institut Néel,,Verified email at neel.cnrs.fr - Homepage,https://scholar.google.fr/citations?hl=fr&user=CHhCALcAAAAJ,12668,2937,47,22,143,42,semiconductor nanostructures physics spectroscopy,https://scholar.google.com/citations?hl=en&user=CHhCALcAAAAJ
John HT Luong,Unknown affiliation,,Verified email at ucc.ie,,30746,10049,89,51,334,166,nanotechnologybiosensor technologyimmunoassaysbionanomaterialsantimicrobials,https://scholar.google.com/citations?hl=en&user=pFeH5qQAAAAJ
Manh-Huong Phan,"Professor of Physics, University of South Florida",https://scholar.google.com/citations?view_op=view_org&hl=en&org=14060067174649929731,Verified email at usf.edu - Homepage,http://shell.cas.usf.edu/~phanm/,17003,9601,65,42,241,187,NanomagnetismNanospintronicsNanobiosensorsNanomedicineQuantum Materials and Devices,https://scholar.google.com/citations?hl=en&user=wW9PXIcAAAAJ
Ryan T Phan,Columbia University College of Physicians & Surgeons,,Verified email at berkeley.edu,,5023,1046,12,10,13,10,,https://scholar.google.com/citations?hl=en&user=E9qL1vYAAAAJ
Trieu Mai,"National Renewable Energy Laboratory, University of California, Santa Cruz",https://scholar.google.com/citations?view_op=view_org&hl=en&org=4712760304611524095,Verified email at nrel.gov,,6976,4986,50,41,99,84,physicscondensed matter physicsenergy analysisgrid integration,https://scholar.google.com/citations?hl=en&user=ccEw06oAAAAJ
Bui Quang Minh (Minh Bùi),"Associate Professor, Australian National University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=2250428170388210728,Verified email at anu.edu.au - Homepage,https://anu-phylogenomics.github.io/,59718,56120,32,29,45,37,BioinformaticsMolecular EvolutionPhylogeneticsPhylogenomicsHigh Performance Computing,https://scholar.google.com/citations?hl=en&user=UI0xN_QAAAAJ
Tuan Vo-Dinh,"Professor of Biomedical Engineering and Chemistry, Duke University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=7484523900994334132,Verified email at duke.edu,,41403,13006,106,49,471,228,Nanobiotechnologyphotonicsspectroscopyplasmonicstheranostics,https://scholar.google.com/citations?hl=en&user=OVka5AMAAAAJ
"Tim Duong, PhD, Professor, Vice Chair, Director",Albert Einstein College of Medicine and Montefiore Health System (tim.duong@einsteinmed.edu),,Verified email at einsteinmed.org - Homepage,https://sites.google.com/view/duong-lab,18556,8250,69,41,257,189,MRICOVID-19AIradiologyneurological & retinal diseases,https://scholar.google.com/citations?hl=en&user=R96DrF4AAAAJ
Duc Minh Duong,"Core Director III Integrated Proteomics Core, Emory University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=7693822459085397235,Verified email at emory.edu,,15588,10946,66,54,147,141,ProteomicsBioinformaticsLiquid Chromatography,https://scholar.google.com/citations?hl=en&user=y3wLRyEAAAAJ
Phuc-Loi Luu,"Garvan Institue of Medical Research, Sydney, Australia",,Verified email at garvan.org.au,,1293,1111,14,13,15,14,Computational BiologyBioinformatics and Epigenetics (luu.p.loi@googlemail.com),https://scholar.google.com/citations?hl=en&user=KPIqpJsAAAAJ
Thomas Luu,"Associate Professor of Physics, Universität Bonn & Forschungszentrum Jülich",https://scholar.google.com/citations?view_op=view_org&hl=en&org=17689933455623107764,Verified email at uni-bonn.de,,4457,1836,35,25,61,51,Nuclear and Particle PhysicsStrongly Correlated ElectronsScientific Computing,https://scholar.google.com/citations?hl=en&user=85QcSOAAAAAJ
Thai M. Hoang,"NASA Jet Propulsion Laboratory, California Institute of Technology",,Verified email at jpl.nasa.gov,,1874,1304,13,13,17,17,Physics,https://scholar.google.com/citations?hl=en&user=H58CN_oAAAAJ
